system:index,area_km2,band,class,class_name,.geo
0_0_0,345.07621106565284,classification_2023,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,21.78537343872089,classification_2023,6,Áreas Naturales Inundables - Leñosas (Bosque Inundable),"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.07597140563964837,classification_2023,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,0.01876817828369141,classification_2023,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.5273099248657228,classification_2023,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,590.1288224819482,classification_2023,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,43.79662382061981,classification_2023,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,18.372645576538225,classification_2023,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,1.7741170900878935,classification_2023,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.7498658701782223,classification_2023,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,5.049040205871583,classification_2023,35,Oil Palm,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,0.0902686282958984,classification_2023,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,1.83666634777832,classification_2023,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
